,isbn,lang,title,author,author_gender,author_nationality,author_birth_year,year_published,avg_rating,num_ratings,adjective_score,adverb_score,flesch_reading_ease_score,lexical_diversity,word_count,count_exclamation_marks,count_question_marks,profanity_score,sentiment_neg_score,sentiment_pos_score,sentiment_compound_score,reading_difficulty,reading_time
10,0385351968,en,The Girls from Corona del Mar,Rufi Thorpe,,,,2014,3.55,6235,656.02,689.52,0.07,0.1036,84784,27.13,100.25,24.851,0.074,0.094,0.999,2.386,5407
11,0062563785,en,Pupcakes,Annie England Noblin,female,,,2017,3.86,1178,617.25,682.81,0.049,0.0787,95342,22.45,87.37,4.5,0.045,0.086,1.0,2.391,6151
12,0553297260,en,Darkness,John Saul,male,,,1991,3.94,20286,617.64,717.82,0.045,0.0702,116896,24.72,75.28,5.991,0.09,0.056,-1.0,2.351,7614
13,0765312778,en,Aftershock & Others: 16 Oddities,F. Paul Wilson,,United States,1946.0,2009,4.04,440,697.17,571.62,0.065,0.1165,123543,48.49,87.01,21.14,0.089,0.081,-0.997,2.413,8058
14,0060564199,en,Leaping Beauty: And Other Animal Fairy Tales,Gregory Maguire,male,United States,1954.0,2004,3.39,1218,682.88,542.29,0.107,0.1538,27882,98.99,78.9,4.939,0.065,0.089,0.992,2.373,1790
15,0385341962,en,Genesis,Karin Slaughter,female,United States,1971.0,2009,4.21,42092,650.99,602.01,0.046,0.08,151293,4.89,96.37,22.632,0.081,0.092,0.998,2.403,9849
16,1451620691,en,Carte Blanche: The New James Bond Novel,Jeffery Deaver,male,United States,1950.0,2011,3.62,9322,736.04,530.34,0.065,0.111,122168,12.36,70.72,4.475,0.074,0.078,0.959,2.584,8459
17,0807531006,en,The Gymnastics Mystery,Gertrude Chandler Warner,female,,,1999,4.02,440,666.94,517.55,0.107,0.1499,19747,69.88,87.61,0.492,0.021,0.061,0.99,2.442,1304
18,0689870639,en,Spirited (Once Upon A Time #7),Nancy Holder,female,,1953.0,2004,3.56,2549,602.34,553.03,0.077,0.1092,59617,37.41,39.75,4.965,0.058,0.073,0.979,2.387,3957
19,0380767600,en,Lover in the Rough,Elizabeth Lowell,female,,,1983,3.58,955,771.56,635.69,0.067,0.0969,75509,7.02,78.8,6.466,0.081,0.121,1.0,2.444,5046
20,0312877153,en,7th Sigma,Steven Gould,male,,,2011,3.71,1394,685.96,578.77,0.068,0.1079,89276,20.16,103.05,9.968,0.054,0.067,0.997,2.448,5935
21,0345387791,en,Powers That Be,Anne McCaffrey,female,Irish (naturalised citizen),1926.0,1993,3.89,6148,705.03,686.27,0.071,0.1136,100748,19.65,67.4,5.226,0.049,0.103,1.0,2.47,6723
22,1402787162,en,Until Thy Wrath Be Past,Åsa Larsson,female,Sweden,1966.0,2008,3.89,6022,591.09,580.55,0.063,0.0986,88227,20.97,79.0,12.537,0.061,0.072,0.993,2.408,5763
23,0441016782,en,The Alchemist's Pursuit,Dave Duncan,male,,,2009,3.85,394,654.49,611.07,0.072,0.1087,90529,33.03,108.03,7.182,0.094,0.081,-0.998,2.531,5974
24,0060751967,en,How To Marry a Millionaire Vampire,Kerrelyn Sparks,,United States,,2005,3.85,34908,723.02,558.85,0.054,0.0809,106719,26.14,141.31,23.776,0.093,0.097,0.98,2.428,7082
25,0553584391,en,Fatal Tide,Iris Johansen,female,United States,1938.0,2003,3.93,6956,553.99,677.37,0.056,0.08,81211,2.96,133.97,15.073,0.081,0.084,0.492,2.37,5057
26,0380812894,en,Bones of the Earth,Michael Swanwick,male,,,2002,3.49,1748,741.32,658.46,0.079,0.1242,91486,31.04,87.23,11.783,0.06,0.075,0.996,2.517,6255
27,0061059889,en,Cat To The Dogs,Shirley Rousseau Murphy,female,,,1999,4.26,859,768.95,580.65,0.075,0.1159,74933,7.21,80.74,3.126,0.08,0.066,-0.996,2.397,5074
28,0312865090,en,Heartlight,Marion Zimmer Bradley,female,United States,1930.0,1998,3.7,660,762.55,604.92,0.052,0.0978,199529,12.98,109.76,31.841,0.07,0.085,0.999,2.515,13630
29,0007209681,en,As Time Goes By,Annie Groves,female,,,2008,4.06,617,624.36,711.41,0.042,0.0692,129700,9.56,66.46,2.513,0.097,0.098,0.949,2.361,8097
30,0553284118,en,Creature,John Saul,male,,,1989,3.84,10565,618.36,755.79,0.046,0.0713,128290,21.05,79.98,4.405,0.075,0.05,-0.999,2.378,8407
31,0758280378,en,Blackberry Pie Murder,Joanne Fluke,female,United States,,2014,3.59,8117,653.1,594.02,0.051,0.0778,101041,34.74,94.71,4.33,0.048,0.097,1.0,2.413,6517
32,0307476103,en,Nightlight: A Parody,Harvard Lampoon,,,,2009,3.08,10179,714.21,635.38,0.114,0.1697,35522,81.64,121.33,3.588,0.062,0.094,0.998,2.455,2304
33,0312661681,en,The Brutal Telling,Louise Penny,female,Canada,1958.0,2009,4.23,49214,648.74,625.99,0.05,0.0772,127046,0.71,150.34,7.615,0.058,0.076,0.999,2.42,8496
34,0445409002,en,Leave a Message for Willie,Marcia Muller,female,United States,1944.0,1984,3.85,1221,632.29,584.53,0.076,0.1141,57790,9.86,147.78,75.306,0.054,0.064,0.985,2.434,3668
35,1741766982,en,The Children,Charlotte Wood,female,Wales,,2007,3.63,563,757.43,587.23,0.083,0.1321,69155,13.45,28.49,15.281,0.061,0.071,0.99,2.394,4622
36,0451416791,en,The Watchers,Jon Steele,male,,,2011,3.69,2002,719.91,464.47,0.041,0.0736,171786,25.56,147.86,26.155,0.065,0.081,0.999,2.408,11432
37,0553384813,en,Well-Schooled in Murder,Elizabeth George,female,United States,1944.0,1989,4.12,22364,658.75,523.32,0.054,0.0853,145245,14.25,109.88,6.301,0.063,0.068,0.975,2.476,9770
38,9655666972,en,Fly Already: Stories,Etgar Keret,,Israeli / Polish,1967.0,2011,4.03,1600,638.03,668.48,0.073,0.1163,55828,12.36,50.51,22.696,0.067,0.11,0.999,2.371,3493
39,0553278193,en,Fer-de-Lance,Rex Stout,male,India,1886.0,1934,3.99,12942,574.79,594.85,0.057,0.0848,88728,12.17,75.4,5.216,0.063,0.09,0.999,2.369,5483
40,0571268943,en,Welcome to Lagos,Chibundu Onuzo,,,,2017,3.77,2337,665.2,501.18,0.085,0.1371,78954,2.79,113.23,16.106,0.056,0.084,0.998,2.458,5236
41,1583229108,en,Sailor & Lula: The Complete Novels,Barry Gifford,male,United States,1946.0,1990,4.23,210,747.89,534.16,0.046,0.0984,175172,21.92,180.28,50.808,0.066,0.078,0.999,2.426,11504
42,0060166002,en,Sex Drugs Rock and Roll,Eric Bogosian,male,,,1991,3.8,305,683.13,542.39,0.114,0.1821,21387,135.6,134.66,54.446,0.068,0.107,0.995,2.367,1348
43,0060855908,en,Equal Rites,Terry Pratchett,,England,1948.0,1987,4.02,149042,721.04,681.67,0.081,0.1259,67555,22.65,96.37,5.665,0.056,0.097,0.999,2.421,4495
44,0006471250,en,A Stranger in the Mirror,Sidney Sheldon,,United States,1917.0,1976,3.64,19501,660.71,466.33,0.066,0.1041,87921,23.43,61.76,21.888,0.069,0.109,1.0,2.454,5767
45,1590172620,en,The Post Office Girl,Stefan Zweig,male,,,1982,4.05,5007,854.89,740.56,0.074,0.1115,94726,22.8,42.23,2.598,0.088,0.112,0.999,2.494,6279
46,0778320340,en,Whippoorwill,Sharon Sala,female,,,2003,3.6,470,645.06,594.66,0.057,0.0872,92658,26.87,48.46,14.092,0.072,0.093,0.999,2.336,5854
47,0385721811,en,When the Emperor Was Divine,Julie Otsuka,female,United States,1962.0,2002,3.75,18169,632.8,576.08,0.091,0.1463,35082,14.54,58.15,6.448,0.061,0.056,-0.484,2.425,2205
48,1841492248,en,Newton's Wake: A Space Opera,Ken MacLeod,male,,1954.0,2004,3.59,2529,775.43,572.49,0.075,0.1278,104858,21.17,68.66,19.879,0.065,0.077,0.997,2.535,7270
49,0765314908,en,The Carpet Makers,Andreas Eschbach,male,,,1995,4.15,3212,718.7,640.43,0.073,0.1111,80618,23.07,65.49,1.102,0.078,0.073,-0.948,2.56,5497
50,0765314975,en,Stone Song: A Novel of the Life of Crazy Horse,Win Blevins,,,,1995,4.16,1215,634.07,569.81,0.04,0.0671,165581,13.04,29.53,4.229,0.106,0.093,-0.999,2.414,10977
51,0446609838,en,Stealing the Elf-King's Roses,Diane Duane,female,United States,1952.0,2002,3.62,494,690.08,716.03,0.055,0.0897,125623,14.09,68.38,2.206,0.061,0.087,0.999,2.446,8341
52,0230770177,en,Three Moments of an Explosion: Stories,China Miéville,,United Kingdom,1972.0,2009,3.63,3629,706.84,533.21,0.066,0.1177,122617,8.73,82.37,14.765,0.073,0.057,-0.999,2.419,8047
53,1595581154,en,Ravel,Jean Echenoz,male,,,2006,3.72,972,774.17,652.79,0.159,0.2325,25705,3.11,15.17,5.756,0.058,0.093,0.995,2.621,1799
54,0060937882,en,The Wedding of the Two-Headed Woman: A Novel,Alice Mattison,female,,,2004,3.16,31,621.56,630.92,0.063,0.1003,81199,9.73,89.16,8.355,0.066,0.092,0.999,2.395,5220
55,0770436315,en,Fiend,Peter Stenson,male,,,2013,3.55,3108,659.81,562.61,0.06,0.0951,76643,1.17,72.94,156.113,0.105,0.099,-0.983,2.274,4687
56,0099503131,en,Beyond the Blue Hills: A World War 2 Family Saga,Katie Flynn,female,England,1936.0,2006,4.24,625,668.56,690.93,0.049,0.0798,132777,17.62,50.54,6.027,0.069,0.1,1.0,2.358,8355
57,1596061006,en,The Merchant and the Alchemist's Gate,Ted Chiang,male,United States,1967.0,2007,4.33,3635,578.31,494.89,0.148,0.1925,10669,10.31,70.3,1.859,0.052,0.071,0.961,2.375,670
58,0679767843,en,The Destiny Of Nathalie X and Other Stories,William Boyd,male,,,1995,3.31,276,819.67,511.74,0.128,0.1907,42639,5.63,76.46,15.798,0.077,0.087,0.978,2.488,2824
59,0380816113,en,A Seductive Offer,Kathryn Smith,female,,,2002,3.66,230,612.63,672.17,0.049,0.0742,117396,17.72,101.11,6.09,0.094,0.131,1.0,2.395,7589
60,1573448257,en,Girls Who Score: Hot Lesbian Erotica,Ily Goyanes,,,,2012,4.02,61,722.28,626.59,0.095,0.1483,53719,20.85,110.76,119.21,0.073,0.116,0.999,2.394,3470
61,0393341615,en,Summer Lightning,P.G. Wodehouse,,,,1929,4.23,4454,660.25,570.32,0.078,0.1188,81515,53.61,125.74,3.606,0.057,0.124,1.0,2.502,5404
62,0060563753,en,The Ritual Bath,Faye Kellerman,female,,,1986,3.94,15238,721.19,572.93,0.076,0.1182,78038,18.58,138.01,34.088,0.082,0.076,-0.99,2.466,5169
63,0763659096,en,Feral Nights,Cynthia Leitich Smith,female,United States,1967.0,2013,3.62,384,746.33,580.64,0.101,0.1529,56972,24.75,117.25,17.539,0.055,0.086,0.999,2.455,3776
64,0099478447,en,The End of the Affair,Graham Greene,male,England,1904.0,1951,3.91,53957,592.43,651.67,0.064,0.1065,67856,0.29,88.42,5.092,0.092,0.13,1.0,2.407,4209
65,0765342227,en,The Sky So Big and Black,John Barnes,male,,,2002,3.91,252,731.83,737.74,0.056,0.0994,89625,5.24,105.55,37.191,0.062,0.095,0.999,2.394,5650
66,0385340567,en,Nothing To Lose,Lee Child,,England,1954.0,2008,3.92,55820,831.02,604.93,0.054,0.095,120443,1.99,107.93,4.028,0.056,0.068,0.997,2.633,8000
67,1888451920,en,Dublin Noir: The Celtic Tiger vs. the Ugly American,Ken Bruen,male,Ireland,1951.0,2005,3.47,191,726.69,564.66,0.091,0.1506,59186,14.36,97.83,78.251,0.089,0.102,0.99,2.376,3803
68,0224082051,en,Our Lady of Alice Bhatti,Mohammed Hanif,male,Pakistan  United Kingdom,,2010,3.39,2349,614.85,557.12,0.075,0.1137,77954,0.77,72.74,13.501,0.085,0.086,0.389,2.438,5077
69,0679728821,en,Losing Battles,Eudora Welty,,,,1970,3.61,517,648.38,592.32,0.037,0.0645,169992,117.48,87.77,8.83,0.077,0.074,0.968,2.286,10811
70,0843958618,en,Dark Hollow,Brian Keene,male,United States,1967.0,2006,3.87,3284,659.14,608.35,0.06,0.0976,93926,10.65,93.48,32.582,0.075,0.068,-0.987,2.838,6152
71,0312423713,en,The End of the Story: A Novel,Lydia Davis,female,United States,1947.0,1994,3.66,2126,625.83,755.41,0.051,0.0724,78408,0.77,6.89,0.764,0.063,0.063,0.95,2.321,4716
72,1594487529,en,Known to Evil,Walter Mosley,male,,,2010,3.92,2227,704.33,531.81,0.067,0.1106,84279,1.54,117.94,10.594,0.075,0.078,0.941,2.378,5343
73,0525423567,en,Ten,Lauren Myracle,female,,,2011,3.79,2057,657.51,632.72,0.076,0.122,51239,87.63,143.25,2.874,0.061,0.108,0.999,2.396,3264
74,0062386247,en,A Pattern of Lies,Charles Todd,male,,,2015,3.92,4146,546.19,641.42,0.046,0.0738,119812,2.25,92.14,1.068,0.081,0.078,-0.983,2.366,7567
75,0446604100,en,The Broken Promise Land,Marcia Muller,female,United States,1944.0,1996,4.09,3248,674.04,563.58,0.061,0.1046,107279,22.84,116.52,24.712,0.075,0.077,-0.891,2.456,7015
76,1482750554,en,What Happened at Midnight,Courtney Milan,,,,2013,3.63,1059,598.98,677.59,0.095,0.1384,39434,4.31,64.16,5.967,0.062,0.071,0.983,2.39,2555
77,0756403049,en,The Star Scroll,Melanie Rawn,female,,1954.0,1989,4.08,8985,754.47,635.22,0.04,0.0673,212069,40.13,66.44,3.12,0.086,0.111,1.0,2.444,14216
78,1880448742,en,All the Colors of Darkness,Lloyd Biggle Jr.,male,,,1963,3.86,217,629.86,666.76,0.083,0.1206,66681,14.55,104.23,1.475,0.078,0.072,-0.979,2.547,4590
79,0425098605,en,The Vision,Dean Koontz,male,United States,1945.0,1977,3.83,14127,746.07,619.72,0.079,0.1186,65691,16.44,144.31,12.296,0.076,0.073,-0.969,2.446,4360
80,0062134329,en,Blood Line,Lynda La Plante,female,England,1943.0,2011,3.98,2649,607.86,608.6,0.041,0.0707,134110,6.56,117.81,7.624,0.063,0.066,0.98,2.406,8453
81,5170878443,en,Sixth Watch,Sergei Lukyanenko,male,Kazakhstan,1968.0,2014,4.13,2842,712.17,694.2,0.059,0.099,114678,45.52,104.12,3.934,0.068,0.094,1.0,2.553,7746
82,0743422988,en,Come Up and See Me Sometime: Stories,Erika Krouse,female,,,2001,3.82,141,624.12,560.01,0.089,0.1375,47571,7.57,98.17,10.119,0.049,0.067,0.995,2.348,3032
83,0679724567,en,Last Notes from Home,Frederick Exley,male,United States,1929.0,1988,3.44,258,790.41,609.01,0.079,0.1306,124366,34.33,41.01,47.763,0.078,0.093,0.999,2.524,8498
84,0671019813,en,Star Trek Voyager,Michael Jan Friedman,male,,,1997,3.77,270,645.8,645.23,0.08,0.1203,53283,13.7,92.9,2.891,0.052,0.073,0.996,2.551,3636
85,0310200172,en,Ulterior Motives,Terri Blackstock,female,,,1996,4.25,1802,542.87,638.4,0.033,0.0553,182457,36.89,120.63,0.961,0.072,0.074,0.971,2.333,11564
86,0679752501,en,Run River,Joan Didion,female,United States,1934.0,1963,3.84,2116,599.34,730.71,0.071,0.1072,76884,0.52,25.1,7.765,0.05,0.065,0.997,2.434,5097
87,1906994056,en,Chosen,Lesley Glaister,,,,2010,3.78,162,585.4,567.86,0.062,0.0972,104322,16.01,126.34,7.455,0.065,0.078,0.997,2.313,6499
88,0553588761,en,The First Betrayal,Patricia Bray,female,,,2006,3.32,361,652.08,558.77,0.06,0.0869,107809,0.37,43.6,4.577,0.094,0.094,-0.601,2.454,7149
89,0425229645,en,Demon Ex Machina,Julie Kenner,female,United States,,2009,3.96,1532,638.3,687.37,0.058,0.0898,95582,20.61,102.74,46.163,0.081,0.091,0.996,2.395,6081
90,0451410556,en,The Blue Last,Martha Grimes,female,,,2001,4.03,4741,653.48,645.57,0.057,0.0942,125284,19.87,134.18,11.047,0.065,0.068,0.95,2.474,8292
91,0525421343,en,Goddess Boot Camp,Tera Lynn Childs,female,,,2009,3.89,11349,684.75,678.31,0.069,0.1145,65265,15.63,107.1,3.012,0.07,0.098,0.999,2.496,4238
92,0553586742,en,Freedom's Apprentice Freedom's Apprentice Freedom's Apprentice,Naomi Kritzer,female,,,2005,3.83,201,582.82,671.73,0.045,0.0667,110342,11.15,88.18,4.278,0.068,0.089,0.999,2.333,6861
93,0007170785,en,The Tattooed Girl: A Novel,Joyce Carol Oates,female,United States,1938.0,2003,3.31,3186,730.74,585.1,0.081,0.1246,86515,35.49,84.49,31.554,0.085,0.112,0.999,2.534,5859
94,2020669498,en,Hysteric,Nelly Arcan,female,,,2004,3.84,772,577.37,490.34,0.084,0.121,52046,0.19,0.96,49.756,0.099,0.11,0.986,2.459,3338
95,0060515228,en,Fragile Things: Short Fictions and Wonders,Neil Gaiman,male,England,1960.0,2006,3.94,66954,658.05,566.42,0.064,0.11,108153,9.8,65.37,13.007,0.06,0.083,0.999,2.364,6944
96,0060935472,en,Old Yeller,Fred Gipson,male,,,1958,4.08,87372,581.87,649.91,0.064,0.092,37328,19.56,12.86,6.617,0.068,0.055,-0.98,2.175,2196
97,0060094397,en,Razor's Edge,Dale Brown,,United States,1956.0,2002,4.04,641,677.49,580.61,0.059,0.1085,109006,20.37,74.4,18.187,0.067,0.067,0.724,2.475,7477
98,0765315955,en,The Phoenix Transformed,Mercedes Lackey,female,United States,1950.0,2008,3.89,3128,567.29,717.0,0.031,0.0595,228911,17.52,40.54,4.763,0.089,0.073,-1.0,2.46,15247
99,0399153578,en,Crisis,Robin Cook,,Scotland,1946.0,2006,3.7,5555,760.69,578.31,0.055,0.0835,145250,21.0,73.12,5.693,0.06,0.077,0.999,2.563,10010
100,0375845631,en,Bones of Faerie: Book 1,Janni Lee Simner,female,,,2008,3.63,7872,535.37,719.68,0.059,0.0872,50675,15.39,53.48,0.195,0.085,0.073,-0.984,2.277,3228
101,0451233107,en,The Bake-Off,Beth Kendrick,female,,,2011,3.63,1504,735.5,531.92,0.086,0.1306,79674,22.72,135.05,9.265,0.05,0.087,0.999,2.516,5380
102,1940953243,en,Loquela,Carlos Labbé,male,,,2009,3.17,103,589.44,499.2,0.079,0.1186,57953,1.9,15.18,6.653,0.068,0.095,0.998,2.479,3765
103,8882462838,en,Inishowen,Joseph O'Connor,male,Ireland,1963.0,2000,3.66,566,688.85,623.25,0.058,0.1041,145896,5.62,138.39,21.129,0.06,0.084,1.0,2.417,9578
104,0312940777,en,The Leopard Hunts in Darkness,Wilbur Smith,male,,1933.0,1984,4.1,4072,755.39,535.87,0.057,0.0935,175697,34.21,46.22,5.972,0.074,0.081,0.995,2.483,11903
105,0842313079,en,An Echo in the Darkness,Francine Rivers,female,United States,1947.0,1994,4.62,42527,576.08,590.36,0.042,0.0663,163849,23.25,109.67,1.674,0.087,0.107,1.0,2.427,10826
106,0899684262,en,Seconds,David Ely,male,,,1963,3.56,233,699.78,714.26,0.093,0.1279,55246,9.96,82.18,5.348,0.059,0.076,0.996,2.536,3706
107,0380803305,en,Never Love a Cowboy,Lorraine Heath,female,,,2000,3.94,1070,560.45,584.97,0.059,0.0905,89321,11.42,82.18,5.586,0.092,0.139,1.0,2.428,5786
108,0310272149,en,Black Sea Affair,Don Brown,male,United States,1960.0,2008,3.77,502,716.32,435.04,0.061,0.098,100681,70.22,77.47,2.735,0.067,0.095,0.999,2.591,7136
109,0765317206,en,The Elysium Commission,L.E. Modesitt Jr.,,,,2007,3.69,622,768.27,666.04,0.063,0.1066,106225,4.33,96.02,2.217,0.064,0.089,0.999,2.603,7399
110,0449221512,en,I is for Innocent,Sue Grafton,female,,,1992,3.94,29943,695.69,547.93,0.073,0.1119,91909,5.33,104.23,8.104,0.062,0.07,0.976,2.44,5935
111,0804170673,en,Back Street,Fannie Hurst,female,United States,,1931,3.66,107,763.94,551.41,0.06,0.1036,155837,37.28,48.64,4.918,0.06,0.104,1.0,2.453,10449
112,0553253220,en,The Californios,Louis L'Amour,male,United States,1908.0,1974,3.86,1963,592.32,654.27,0.07,0.108,52792,26.52,118.96,2.624,0.071,0.06,-0.978,2.351,3381
113,isbn not found,en,Roman Holiday,Jodi Taylor,female,Argentina,1949.0,2014,4.22,3818,720.27,751.26,0.188,0.2544,11940,8.38,38.53,7.332,0.065,0.079,0.633,2.559,814
114,0689839707,en,One-Eyed Cat,Paula Fox,female,United States,1923.0,1984,3.4,1576,665.25,572.96,0.075,0.105,49515,29.69,44.43,1.385,0.043,0.069,0.998,2.293,3095
115,0525427406,en,Re Jane,Patricia Park,female,,,2015,3.5,3688,706.06,591.33,0.063,0.1101,113829,34.96,82.76,7.196,0.047,0.073,0.999,2.472,7530
116,0446667900,en,A Darkness More Than Night,Michael Connelly,male,United States,1956.0,2000,4.14,46924,562.55,534.28,0.047,0.0825,121323,3.21,108.06,81.706,0.059,0.053,-0.996,2.418,7872
117,0449911721,en,Morgan's Passing,Anne Tyler,female,United States,1941.0,1980,3.78,4513,697.24,618.8,0.067,0.1098,100210,32.03,110.97,1.844,0.054,0.063,0.994,2.418,6677
118,0312944837,en,The Year's Best Science Fiction: First Annual Collection,Gardner Dozois,,United States,,1984,4.13,391,745.64,598.04,0.051,0.0957,243497,14.29,108.01,30.223,0.084,0.083,-0.838,2.481,16472
119,0141195738,en,Dear Illusion: Collected Stories,Kingsley Amis,male,England,1922.0,1962,3.53,150,763.43,651.08,0.054,0.0947,181391,9.65,87.38,5.687,0.055,0.103,1.0,2.505,11908
120,0393310752,en,The Fact of a Doorframe: Poems 1950-2001,Adrienne Rich,female,,,1984,4.24,3046,749.46,408.33,0.119,0.2003,51037,5.49,41.34,8.468,0.1,0.086,-0.988,2.671,3431
121,3522201663,en,Ignited,Corrine Jackson,female,,,2014,4.22,1636,509.68,547.85,0.048,0.0723,107694,7.99,84.96,6.649,0.111,0.084,-0.999,2.334,6688
122,0764208861,en,To Have and to Hold,Tracie Peterson,female,,,2011,3.77,1245,600.26,584.41,0.053,0.0764,100906,10.5,59.26,1.936,0.057,0.095,1.0,2.43,6580
123,0451054016,en,There Will Be Time,Poul Anderson,male,United States,1926.0,1972,3.67,1049,824.7,592.82,0.094,0.1515,87632,23.17,71.78,6.628,0.067,0.099,1.0,2.854,6016
124,0718026241,en,The Huntress of Thornbeck Forest,Melanie Dickerson,female,,,2015,3.86,6161,611.16,608.21,0.05,0.073,88045,11.02,115.51,1.007,0.073,0.085,0.995,2.381,5624
125,1982528249,en,After the Monsoon,Robert Karjel,male,Sweden,1965.0,2016,3.66,184,657.63,627.13,0.052,0.0883,117391,5.96,80.84,8.635,0.055,0.062,0.995,2.443,7803
126,0778329844,en,The Girl Who Disappeared Twice,Andrea Kane,female,United States,,2004,3.69,3684,749.99,635.18,0.063,0.1507,95988,2.81,86.47,12.567,0.07,0.08,0.994,2.42,6896
127,0451224558,en,China Lake,Meg Gardiner,female,United States,1957.0,2002,3.67,1785,630.07,441.56,0.073,0.1287,114004,20.79,92.28,13.89,0.075,0.069,-0.993,2.462,7731
128,1416558861,en,Devils in Exile,Chuck Hogan,male,United States,1967.0,2010,3.83,1112,715.67,514.77,0.078,0.1347,85864,6.17,112.04,41.835,0.078,0.057,-0.999,2.43,5787
129,0099466139,en,The Railway,Hamid Ismailov,male,,,2006,3.51,146,744.46,510.02,0.071,0.1181,105231,34.02,23.76,16.015,0.069,0.078,0.988,2.647,7242
130,1920882176,en,Carpentaria,Alexis Wright,male,Australia,1950.0,2006,3.64,972,714.08,526.18,0.048,0.0808,180890,36.21,44.17,8.58,0.096,0.079,-1.0,2.422,12077
131,0345394690,en,Promises of Home,Jeff Abbott,male,,,1996,3.82,296,661.08,658.65,0.068,0.1031,90655,22.5,106.01,11.11,0.11,0.096,-0.997,2.341,5830
132,0316926051,en,A Handful of Dust,Evelyn Waugh,female,England,1903.0,1934,3.91,23181,725.95,608.77,0.071,0.1093,74675,0.94,108.87,5.482,0.044,0.088,1.0,2.426,4838
133,0006498515,en,Legal Tender,Lisa Scottoline,female,United States,1955.0,1996,3.88,7307,669.86,542.31,0.073,0.1223,79659,39.54,158.17,7.469,0.068,0.075,0.979,2.377,5110
134,2081354802,en,Submission,Michel Houellebecq,male,France,1956.0,2015,3.65,32409,812.73,670.29,0.093,0.1483,60586,4.79,33.01,16.348,0.049,0.096,0.999,2.589,4146
135,0553585754,en,Echo of Eternity,Maggie Furey,female,,,2003,3.87,573,698.15,679.71,0.04,0.0635,197936,28.75,73.51,4.557,0.093,0.1,0.998,2.424,13051
136,0399593578,en,No Middle Name: The Complete Collected Jack Reacher Short Stories,Lee Child,,England,1954.0,2012,3.94,16086,790.0,622.45,0.059,0.0966,108988,0.18,124.88,6.475,0.048,0.059,0.996,2.443,7145
137,1611941601,en,Sign Off,Patricia McLinn,female,,,2012,4.07,6379,677.16,587.15,0.07,0.1128,83880,7.39,101.45,5.904,0.067,0.077,0.99,2.479,5529
138,0312303785,en,Maybe This Time,Jennifer Crusie,female,United States,,2010,3.73,12840,618.03,683.39,0.044,0.0672,106338,11.85,107.21,8.811,0.07,0.092,0.999,2.347,6815
139,1417920769,en,Decline and Fall,Evelyn Waugh,female,England,1903.0,1928,3.85,11694,728.17,590.51,0.084,0.1282,64944,41.57,103.32,5.1,0.064,0.083,0.995,2.45,4329
140,0440240956,en,The Death of Kings,Conn Iggulden,male,England,1971.0,2004,4.28,16386,600.72,547.96,0.04,0.0577,168697,15.12,42.5,2.986,0.096,0.086,-0.997,2.403,10971
141,0373772475,en,A Daring Passion,Rosemary Rogers,female,British-American,1932.0,2007,3.83,202,679.0,634.76,0.05,0.07,124977,0.08,96.82,8.26,0.114,0.105,-0.995,2.554,8309
